time	window	byterate	datarate	instbyte	instdata	RTT
0.069513	125000000	18413.906250	0.000000	0.000001	0.000000	55939
0.183810	125000000	14145.043945	0.000000	11548.831055	0.000000	8554
0.298572	125000000	13088.965820	0.000000	11397.489258	0.000000	63474
0.420247	125000000	12421.260742	0.000000	10782.813477	0.000000	41435
0.543140	125000000	12063.188477	0.000000	10838.714844	0.000000	2743
0.679197	125000000	11601.932617	0.000000	9760.604492	0.000000	6636
0.806766	125000000	11408.515625	0.000000	10378.724609	0.000000	42268
0.924714	125000000	11376.486328	0.000000	11157.407227	0.000000	25835
1.045824	125000000	11317.392578	0.000000	10866.192383	0.000000	25375
1.159716	125000000	11357.957031	0.000000	11730.436523	0.000000	54649
1.287207	125000000	11255.374023	0.000000	10322.244141	0.000000	39129
1.400709	125000000	11285.714844	0.000000	11629.811523	0.000000	27345
1.538805	125000000	11135.912109	0.000000	9616.458984	0.000000	58378
1.656212	125000000	11138.672852	0.000000	11174.861328	0.000000	24065
1.777006	125000000	11115.323242	0.000000	10795.170898	0.000000	17791
1.892431	125000000	11143.338867	0.000000	11574.659180	0.000000	51361
2.009214	125000000	11154.608398	0.000000	11337.224609	0.000000	50088
2.123730	125000000	11184.097656	0.000000	11701.500977	0.000000	8205
2.243731	125000000	11172.460938	0.000000	10966.514648	0.000000	13408
2.362005	125000000	11173.559570	0.000000	11194.391602	0.000000	59661
2.478682	125000000	11180.137695	0.000000	11313.308594	0.000000	30168
2.593224	125000000	11192.245117	0.000000	11454.273438	0.000000	13198
2.708740	125000000	11196.348633	0.000000	11288.446289	0.000000	57203
2.821066	125000000	11217.036133	0.000000	11715.923828	0.000000	54621
2.936961	125000000	11229.292969	0.000000	11527.646484	0.000000	15940
3.069504	125000000	11166.623047	0.000000	9777.948242	0.000000	45885
3.206342	125000000	11095.509766	0.000000	9500.310547	0.000000	19190
3.328127	125000000	11082.509766	0.000000	10740.263672	0.000000	63273
3.447292	125000000	11092.766602	0.000000	11379.205078	0.000000	17852
3.573024	125000000	11067.376953	0.000000	10371.270508	0.000000	124
3.686632	125000000	11088.711914	0.000000	11759.698242	0.000000	34821
3.812135	125000000	11065.713867	0.000000	10390.156250	0.000000	36424
3.917258	125000000	11102.665039	0.000000	12442.626953	0.000000	51718
4.045975	125000000	11074.709961	0.000000	10223.947266	0.000000	48328
4.156483	125000000	11096.880859	0.000000	11908.658203	0.000000	58003
4.279358	125000000	11085.775391	0.000000	10710.111328	0.000000	27784
4.390697	125000000	11106.208008	0.000000	11891.536133	0.000000	45274
4.497334	125000000	11140.823242	0.000000	12566.100586	0.000000	3905
4.612527	125000000	11143.565430	0.000000	11250.614258	0.000000	50698
4.724336	125000000	11160.933594	0.000000	11877.382812	0.000000	55594
4.827880	125000000	11196.631836	0.000000	12825.427734	0.000000	52657
4.938086	125000000	11210.012695	0.000000	11796.216797	0.000000	30854
5.049883	125000000	11221.646484	0.000000	11735.504883	0.000000	19275
5.168036	125000000	11222.059570	0.000000	11239.707031	0.000000	32677
5.277832	125000000	11244.768555	0.000000	12313.666016	0.000000	11475
5.388106	125000000	11258.873047	0.000000	11933.963867	0.000000	10251
5.501837	125000000	11266.783203	0.000000	11641.484375	0.000000	50197
5.608647	125000000	11281.864258	0.000000	12058.713867	0.000000	26439
5.718841	125000000	11301.591797	0.000000	12305.677734	0.000000	64647
5.830788	125000000	11312.365234	0.000000	11862.767578	0.000000	10499
5.954549	125000000	11298.252930	0.000000	10633.379883	0.000000	39565
6.075387	125000000	11284.876953	0.000000	10625.737305	0.000000	29734
6.191552	125000000	11280.532227	0.000000	11053.321289	0.000000	64519
6.308069	125000000	11280.155273	0.000000	11260.117188	0.000000	57976
6.425743	125000000	11280.875000	0.000000	11319.466797	0.000000	29542
6.552611	125000000	11262.075195	0.000000	10309.869141	0.000000	34291
6.674234	125000000	11252.826172	0.000000	10754.533203	0.000000	22847
6.795856	125000000	11242.733398	0.000000	10688.868164	0.000000	9773
6.909912	125000000	11244.137695	0.000000	11327.791992	0.00
