time	window	byterate	datarate	instbyte	instdata	RTT
0.030280	4027	4253845.000000	4210648.500000	0.000097	0.000096	22971
0.053213	5510	4841138.000000	4792052.500000	5616599.500000	5559738.000000	43800
0.066298	5632	5828783.500000	5769415.000000	9845338.000000	9744151.000000	51987
0.080139	6714	6429606.500000	6363970.000000	9307571.000000	9211912.000000	59258
0.095191	2780	6765754.000000	6697092.000000	8555456.000000	8470683.000000	38406
0.111515	5053	6930291.000000	6860058.000000	7889725.000000	7810335.000000	43562
0.129025	8078	6988246.500000	6917283.500000	7357357.500000	7281741.500000	50435
0.150013	3049	6869259.500000	6799399.000000	6137805.500000	6074723.500000	65271
0.167758	2780	6910744.000000	6840214.000000	7261443.500000	7185252.000000	16372
0.189290	2780	6805036.500000	6735704.000000	5981461.000000	5921457.000000	14865
0.212154	5834	6678807.000000	6610762.000000	5633766.000000	5576383.500000	46732
0.231344	2780	6681590.000000	6613518.000000	6712363.500000	6643995.500000	3189
0.247188	6522	6774445.000000	6705412.500000	8130253.500000	8047194.000000	56906
0.263863	2780	6834457.500000	6764876.000000	7724096.000000	7646373.000000	17168
0.283464	3828	6816404.000000	6746892.500000	6573370.500000	6504802.000000	19744
0.303482	2780	6791194.500000	6721984.500000	6434211.500000	6369270.000000	40523
0.322837	2780	6782970.500000	6713907.500000	6654038.000000	6587287.000000	245
0.342026	7629	6779050.000000	6710014.500000	6713087.000000	6644505.000000	51343
0.361695	2780	6766631.500000	6697623.500000	6550697.500000	6482164.500000	63408
0.382875	2780	6728707.000000	6660131.000000	6081045.500000	6019855.500000	10984
0.401273	7263	6741178.000000	6672516.500000	7000713.500000	6930269.500000	39218
0.414050	2780	6844259.500000	6774538.500000	10081516.000000	9978522.000000	62811
0.426556	3223	6945656.500000	6874838.000000	10302926.000000	10195771.000000	52826
0.438701	4805	7046977.500000	6975138.000000	10605451.000000	10497757.000000	9432
0.452008	3848	7124509.000000	7051864.500000	9680521.000000	9581326.000000	15549
0.475862	2780	7038079.000000	6966310.000000	5400286.500000	5345116.500000	49977
0.488823	7352	7115007.000000	7042432.500000	9939421.000000	9837268.000000	65296
0.503669	3265	7161005.000000	7087989.000000	8675494.000000	8587931.000000	30469
0.518591	2789	7203389.500000	7129898.000000	8634042.000000	8544509.000000	10605
0.534896	5066	7224681.000000	7150917.000000	7901828.000000	7819402.500000	58166
0.550007	5154	7260401.500000	7186278.500000	8524901.000000	8438072.000000	35546
0.565749	7196	7286104.500000	7211676.000000	8184105.500000	8098987.000000	47913
0.583530	2780	7284803.500000	7210421.500000	7243412.000000	7170525.500000	12604
0.603167	6802	7261204.000000	7187068.500000	6559910.000000	6493094.500000	42313
0.621290	3750	7256704.000000	7182638.500000	7106915.500000	7035184.500000	11530
0.635393	2780	7298354.000000	7223874.000000	9133172.000000	9040428.000000	32419
0.649841	6239	7334328.500000	7259467.500000	8916409.000000	8824770.000000	61920
0.663928	2780	7372728.000000	7297473.000000	9144082.000000	9050665.000000	54662
0.679184	8221	7396798.000000	7321284.000000	8444354.000000	8357566.500000	36833
0.697761	2960	7384495.500000	7309088.500000	6934708.000000	6863223.000000	23475
0.716618	2780	7369947.500000	7294677.000000	6831616.000000	6761403.500000	56883
0.734619	5154	7364650.500000	7289488.000000	7153791.500000	7082907.000000	50844
0.749620	4681	7389107.500000	7313709.500000	8586871.000000	8499938.000000	40453
0.764262	8031	7416085.500000	7340415.000000	8797234.000000	8707631.000000	2978
0.780673	3112	7425213.000000	7349432.000000	7850291.500000	7769368.500000	22757
0.799335	2780	7413013.000000	7337350.000000	6902669.000000	6831938.500000	2507
0.822799	6456	7358162.500000	7283063.000000	5489653.500000	5433739.500000	52701
0.842872	4431	7335760.500000	7260893.000000	6417456.000000	6352091.500000	27920
0.860689	7604	7333544.500000	7258716.000000	7228713.000000	7155752.500000	15513
0.882852	6258	7295359.000000	7220914.000000	5812426.500000	5752867.500000	29147
0.902090	2780	7282595.000000	7208261.000000	6696835.000000	6627596.500000	61549
0.919318	2780	7286246.500000	7211865.500000	7477451.000000	7400600.500000	62550
0.937688	6408	7280884.000000	7206552.000000	7012506.000000	6940650.000000	19182
0.957600	3132	7264026.000000	7189853.000000	6470128.500000	6403432.500000	949
0.977892	7373	7245034.500000	7171034.500000	6348842.500000	6283006.500000	39005
0.998209	2790	7226611.500000	7152811.000000	6339845.500000	6275661.500000	22123
1.015429	2780	7230931.500000	7157075.000000	7481357.500000	7404237.500000	30435
1.033371	3543	7230007.500000	7156191.000000	7177750.500000	7106187.000000	28376
1.049846	2780	7239232.500000	7165339.500000	7817820.500000	7739154.500000	46005
1.069161	2780	7228897.000000	7155142.000000	6667182.500000	6600914.500000	18854
1.096943	2780	7163214.000000	7090156.500000	4635485.500000	4589269.000000	3336
1.123810	6828	7106586.000000	7034107.500000	4794494.500000	4745660.500000	711
1.152639	5118	7040596.000000	6968788.500000	4468204.000000	4422556.500000	56813
1.181779	4919	6976002.500000	6904842.000000	4421015.500000	4375442.500000	52727
1.201400	6581	6969311.000000	6898204.000000	6566239.000000	6498350.000000	15907
1.217732	5131	6981624.500000	6910387.000000	7887434.000000	7806612.500000	25088
1.235704	7507	6984313.000000	6913063.000000	7166464.000000	7094352.000000	38101
1.257731	6018	6964404.500000	6893365.500000	5847538.000000	5788338.000000	47778
1.276659	7215	6962031.500000	6891033.500000	6804349.500000	6736090.500000	38939
1.296748	2780	6953507.500000	6882601.000000	6411795.500000	6346686.000000	7916
